iter	Passed	Remaining
0	0	82
1	1	71
2	2	66
3	2	64
4	3	64
5	4	63
6	4	62
7	5	60
8	5	59
9	6	58
10	7	57
11	7	56
12	8	56
13	9	55
14	9	55
15	10	54
16	10	53
17	11	52
18	12	51
19	12	50
20	13	50
21	13	49
22	14	48
23	15	47
24	15	47
25	16	46
26	16	45
27	17	44
28	18	44
29	18	43
30	19	43
31	19	42
32	20	41
33	21	41
34	21	40
35	22	39
36	23	39
37	23	38
38	24	38
39	24	37
40	25	36
41	26	36
42	26	35
43	27	34
44	27	33
45	28	33
46	28	32
47	29	32
48	30	31
49	30	30
50	31	30
51	32	29
52	32	28
53	33	28
54	33	27
55	34	27
56	35	26
57	35	25
58	36	25
59	37	24
60	38	24
61	38	23
62	39	23
63	40	22
64	40	22
65	41	21
66	42	20
67	42	20
68	43	19
69	43	18
70	44	18
71	45	17
72	45	16
73	46	16
74	46	15
75	47	15
76	48	14
77	48	13
78	49	13
79	49	12
80	50	11
81	50	11
82	51	10
83	52	9
84	52	9
85	53	8
86	53	8
87	54	7
88	55	6
89	55	6
90	56	5
91	56	4
92	57	4
93	58	3
94	58	3
95	59	2
96	60	1
97	60	1
98	61	0
99	61	0
