iter	Passed	Remaining
0	0	95
1	1	85
2	2	80
3	3	78
4	4	77
5	4	74
6	5	76
7	6	76
8	7	75
9	8	73
10	8	71
11	9	70
12	10	68
13	11	68
14	11	67
15	12	66
16	13	64
17	13	63
18	14	62
19	15	61
20	16	60
21	16	59
22	17	59
23	18	58
24	18	56
25	19	55
26	20	54
27	20	53
28	21	52
29	22	51
30	22	50
31	23	49
32	24	48
33	24	47
34	25	46
35	25	46
36	26	45
37	27	44
38	27	43
39	28	42
40	29	41
41	29	41
42	30	40
43	30	39
44	31	38
45	32	37
46	32	37
47	33	36
48	34	35
49	34	34
50	35	34
51	36	33
52	36	32
53	37	31
54	38	31
55	38	30
56	39	29
57	39	28
58	40	28
59	41	27
60	41	26
61	42	25
62	43	25
63	43	24
64	44	23
65	44	23
66	45	22
67	46	21
68	46	20
69	47	20
70	47	19
71	48	18
72	49	18
73	49	17
74	50	16
75	51	16
76	51	15
77	52	14
78	52	14
79	53	13
80	54	12
81	54	12
82	55	11
83	56	10
84	56	10
85	57	9
86	57	8
87	58	7
88	59	7
89	59	6
90	60	5
91	61	5
92	61	4
93	62	3
94	63	3
95	63	2
96	64	1
97	64	1
98	65	0
99	66	0
